TranslatedRecipeName,TranslatedIngredients,TotalTimeInMins,Cuisine,Cleaned-Ingredients,Ingredient-count,Canonical_Name,Name_Aliases,Cleaned_RecipeName
Veg Chili Cheese Burgers Recipe,"1 tablespoon Tabasco Original - Hot Sauce,5 Pickled Jalapenos - sliced,1 Onion - chopped,1 Whole Egg,1 teaspoon Red Chilli flakes,1 tablespoon Red Chilli powder,1 Onions - chopped,Salt - to taste,2 Cheese Slices,2 Burger buns,2 Potatoes (Aloo) - pressure cooked,4 cloves Garlic - chopped,1 tablespoon Dried oregano,1 cup Homemade tomato puree,2 Tomatoes - chopped,1/2 cup Soy granules,1 Green Bell Pepper (Capsicum) - chopped,1/2 cup Whole Wheat Bread crumbs,1 teaspoon Honey,1 tablespoon Cumin powder (Jeera),Sunflower Oil",55,Continental,"cheese,salt,burger buns,potato pressure,tomato,soy granules,eggs,cumin powder,tabasco original sauce,sunflower oil,red chilli powder,cloves garlic,red chilli flakes,jalapenos,onion,green bell pepper,wheat bread crumbs,dried oregano",18,veg chili cheese burgers,[],veg chili cheese burgers
Andhra Steel Ingavu Charu Recipe - Asfoitida Flavored Tamarand Rasam,"1 teaspoon Asafoetida (hing),Sunflower Oil - for cooking,Salt - to taste,1 teaspoon Cumin seeds (Jeera),1 teaspoon Mustard seeds,1 teaspoon Methi Seeds (Fenugreek Seeds),2 cup Tamarind Water,1 sprig Curry leaves,1/2 cup Arhar dal (Split Toor Dal),1 pinch Asafoetida (hing)",30,Andhra,"salt,arhar dal,tamarind water,mustard seeds,asafoetida,curry leaves,cumin seeds,methi seeds,sunflower oil",9,andhra steel ingavu charu,['asfoitida flavored tamarand rasam'],"andhra steel ingavu charu, asfoitida flavored tamarand rasam"
And fish soup recipe - Bengali style fish in tomato gravy,"1-1/2 tablespoons Ginger - paste,1-1/4 cups Water - add 2 cups if you like a loose gravy,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Cumin powder (Jeera),Salt - to taste,4 Green Chillies - coarsely crushed,1 Tomato - finely chopped,Mustard oil - as required,1 teaspoon Coriander Powder (Dhania),1 tablespoon Coriander (Dhania) Leaves - optional,2 Bay leaves (tej patta),Sugar - a pinch (optional),600 grams Aar Maach (fish) - rohu/ katla fish (cut into thick steaks),1/2 teaspoon Cumin seeds (Jeera),2 Green Chillies - slit lengthwise",20,Bengali Recipes,"tomato,salt,cumin powder,coriander powder,bay leaves,mustard oil,coriander leaves,water,sugar,cumin seeds,ginger paste,turmeric powder,green chillies,aar maach rohu katla fish",14,and fish soup,['bengali style fish in tomato gravy'],"and fish soup, bengali style fish in tomato gravy"
Saunf Aloo (Fennel Potato Curry) Recipe,"1/4 cup Fresh cream - or 1/2 cup milk,5 Potatoes (Aloo) - halved with skin,2 teaspoon Fennel seeds (Saunf) - crushed,4 sprig Coriander (Dhania) Leaves - finely chopped,1 teaspoon Turmeric powder (Haldi),2 teaspoon Red Chilli powder",25,Punjabi,"fennel seeds,potato skin,milk,red chilli powder,coriander leaves,turmeric powder",6,saunf aloo,['fennel potato curry'],"saunf aloo, fennel potato curry"
South Indian Onion Chutney Recipe - South Indian Onion Chutney (Recipe)," 1 teaspoon cumin seeds, 2 teaspoons oil, 2 tablespoons black urad dal (split), salt - 1 teaspoon, 3 dry red chillies, 1/2 teaspoon oil, 1 tablespoon tamarind paste, as per taste Rye, 1 sprig curry leaves, 1/2 teaspoon jaggery,2 onions",40,South Indian Recipes,"salt,rye,jaggery,black urad dal,curry leaves,dry red chillies,onion,oil,tamarind paste,cumin seeds",10,south indian onion chutney,[],south indian onion chutney
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,"2 cups Coriander (Dhania) Leaves - tightly packed,4 cloves Garlic,1 inch Ginger - chopped,1 teaspoon Garam masala powder,1 Cinnamon Stick (Dalchini) - small,2 Green Chillies - chopped,1 Onion - roughly chopped,1 tablespoon Sunflower Oil,2 Cloves (Laung),1 Bay leaf (tej patta),4 Whole Eggs - boiled,2 tablespoons Fresh cream,1 cup Mint Leaves (Pudina) - chopped,2 teaspoons Coriander Powder (Dhania)",35,Indian,"green chillies,ginger,bay leaf,coriander leaves,mint leaves,cloves garlic,cinnamon stick,onion,coriander powder,eggs,cloves,garam masala powder,sunflower oil",13,hariyali egg curry in coriander and mint gravy,[],hariyali egg curry in coriander and mint gravy
Gourd Raita Recipe - Grated Bottle Gourd Yogurt Salad," 1 green - finely chopped, 1 cucumber - peel and grind, 1/2 teaspoon cumin powder, 1 cup gourd - peel and tighten, salt - as per taste,2 cups curd, 1 green coriander - little",30,Indian,"coriander leaves,cucumber grind,salt,green,cumin powder,curd,gourd",7,gourd raita,['grated bottle gourd yogurt salad'],"gourd raita, grated bottle gourd yogurt salad"
Homemade Tater Tots Recipe,"10 Potatoes (Aloo),1 teaspoon Garlic powder,Salt - to taste,Sunflower Oil - for deep frying the tater tots,1 tablespoon Coriander (Dhania) Leaves - finely chopped,1 teaspoon Red Chilli flakes,2 tablespoon All Purpose Flour (Maida),1 teaspoon Onion powder,1 tablespoon Rice flour,1 teaspoon Dried oregano",60,Continental,"salt,rice flour,coriander leaves,onion powder,sunflower oil the r tots,flour,red chilli flakes,garlic powder,potato,dried oregano",10,homemade tater tots,[],homemade tater tots
Chettinad Vegetable Casserole Recipe - Chettinad Vegetable Pulao Recipe," 1/4 cup mint leaves - finely chopped, 2 cloves garlic - tighten, 1 tsp turmeric powder, 1 tsp fennel , 12 green beans - chop, 1 tsp coriander seeds, 1 inch ginger - tighten, 2 cloves, 1 inch cinnamon, 1/4 cup green peas - steam,1 cup rice - wash well in water, ghee - as per use, 1 tsp whole pepper, 1 bay leaf - break , 2 potatoes - peel and chop, 1 carrot - chop, 12 small onions - finely chopped, 1 tsp red chilli powder, 2 green chillies - straight and thin cut",60,Chettinad,"turmeric powder,ginger,rice,ghee,cinnamon,fennel,red chilli powder,cloves garlic,carrot,green beans,onion,bay leaf break,mint leaves,potatoes,pepper,cloves,coriander seeds,green chillies,green peas",19,chettinad vegetable casserole,['chettinad vegetable pulao'],"chettinad vegetable casserole, chettinad vegetable pulao"
Garlic Amla Chutney Recipe - Lehsun Amla Chutney Recipe," 10 bud garlic, 1/2 cup mint, 2 green chillies, 1/2 tsp rye, 1 sprig curry leaves, salt - as per taste,8 amla, 10 cashew nuts, 1/4 tsp urad dal, 6 small onions, 1/4 tsp chana dal, 1 tsp oil, 1/2 cup coriander",15,Tamil Nadu,"cashew nuts,salt,rye,urad dal,mint,coriander,curry leaves,amla,onion,oil,chana dal,bud garlic,green chillies",13,garlic amla chutney,['lehsun amla chutney'],"garlic amla chutney, lehsun amla chutney"
Maharashtrian Kakdi Thalipeeth Recipe - Spiced Cucumber Flat Bread,"1 teaspoon Cumin powder (Jeera),5 cloves Garlic - finely chopped,1/2 cup Coriander (Dhania) Leaves - chopped,1 Cucumber - peeled and grated,Salt - to taste,1/2 cup Whole Wheat Flour,1/2 cup Gram flour (besan),1 teaspoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder,2 Green Chillies - finely chopped,1/4 cup Rice flour,1 teaspoon Turmeric powder (Haldi),Ghee - for smearing on thalipeeth",60,Maharashtrian Recipes,"salt,wheat flour,cumin powder,ghee on thalipeeth,coriander leaves,red chilli powder,cloves garlic,gram flour,cucumber,coriander powder,rice flour,turmeric powder,green chillies",13,maharashtrian kakdi thalipeeth,['spiced cucumber flat bread'],"maharashtrian kakdi thalipeeth, spiced cucumber flat bread"
Homemade Healthy Subway Sandwich Recipe With Beet & Sprout,"2 Tomatoes - thinly sliced,1 Beetroot - grated,1/2 cup Hung Curd (Greek Yogurt),2 Submarine Bread (Subway Bread) - (flat breads or foot longs),2 cloves Garlic - grated,Tabasco Original - Hot Sauce - to taste,Salt and Pepper - to taste,2 Stalks Spring Onion (Bulb & Greens) - finely chopped,1/2 cup Green Moong Sprouts,2 tablespoon Coriander (Dhania) Leaves - finely chopped",30,Fusion,"tomato,salt,hung curd,stalks spring onion,coriander leaves,tabasco original sauce,green moong sprouts,cloves garlic,pepper,beetroot,submarine bread",11,homemade subway sandwich with beet & sprout,[],homemade subway sandwich with beet & sprout
South Indian Style Murungakkai Poriyal Recipe - Drumstick Stir Fry,"2 teaspoons Coconut Oil,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,2 Green Chillies - slit,1 teaspoon Mustard seeds,1/2 cup Fresh coconut - grated,Water - as needed,2 Dry Red Chillies,1 sprig Curry leaves,5 Drumstick - cut into 3 inch pieces",45,South Indian Recipes,"salt,mustard seeds,coconut,water,drumstick,curry leaves,dry red chillies,turmeric powder,coconut oil,green chillies",10,south indian style murungakkai poriyal,['drumstick stir fry'],"south indian style murungakkai poriyal, drumstick stir fry"
Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe,"Ice cubes - a few,3 tablespoons Milk - luke warm+more cold milk as needed,1 cup Curd (Dahi / Yogurt) - (low fat),3/4 cup Mango Pulp (Puree),2 pinch Saffron strands,1 tablespoon Sugar - or honey,3 tablespoons Badam (Almond) - roughly chopped",25,Indian,"mango pulp,milk cold milk,ice cubes,saffron strands,curd,badam",6,kesar mango lassi,['saffron mango lassi'],"kesar mango lassi, saffron mango lassi"
Chettinad Sweet Paniyaram Recipe - Chettinad Sweet Paniyaram Recipe," oil - as per use, 3 tablespoons coconut - grated, 1/3 cup jaggery,1 cup idli dosa mixture, 1 tablespoon of cardamom powder, salt - as per taste, 4 tablespoons rice rava, water - as per use",25,Chettinad,"cardamom powder,salt,idli dosa mixture,coconut,jaggery,rice rava,water,oil",8,chettinad sweet paniyaram,[],chettinad sweet paniyaram
Mini Dal Samosa Curry / Sabzi Recipe,"6 Whole Black Peppercorns,1 teaspoon Coriander Powder (Dhania),1 Mace (Javitri),2 tablespoons Sunflower Oil,2 Tomato - roughly chopped,15 Cashew nuts,1 Green Chilli,3 Cardamom (Elaichi) Pods/Seeds,1/2 teaspoon Sugar,1 Onion - roughly chopped,1/2 inch Cinnamon Stick (Dalchini),1/2 inch Ginger,1/2 teaspoon Kasuri Methi (Dried Fenugreek Leaves),1 Black cardamom (Badi Elaichi),1/2 teaspoon Turmeric powder (Haldi),6 Samosas - mini,1/2 teaspoon Garam masala powder,1/2 teaspoon Kashmiri Red Chilli Powder,1 Bay leaf (tej patta),1 tablespoon Fresh cream,3 cloves Cloves (Laung)",35,North Indian Recipes,"cashew nuts,black cardamom,tomato,kashmiri red chilli powder,samosas mini,green chilli,ginger,cardamom podsseeds,bay leaf,cloves cloves,black peppercorns,sugar,cinnamon stick,mace,onion,coriander powder,turmeric powder,kasuri methi,garam masala powder,sunflower oil",20,mini dal samosa curry,['sabzi'],"mini dal samosa curry, sabzi"
Spinach Garlic Bruschetta Recipe With Red Bell Pepper Sauce,"1 cup Cheddar cheese - grated,1 Baguette - sliced,Salt - to taste,1 Tomato - finely chopped,1 tablespoon Roasted tomato pasta sauce,1 1/2 tablespoon Butter,1 Red Bell pepper (Capsicum) - (optional,1 teaspoon Fresh cream,1 cup Spinach Leaves (Palak),1/2 tablespoon Garlic - minced,1 tablespoon Black pepper powder - adjust,1 tablespoon Italian seasoning,1 Onion - finely chopped (optional)",30,Italian Recipes,"tomato,salt,baguette,italian,garlic,onion,cheddar cheese,black pepper powder,tomato pasta sauce,spinach leaves,butter,red bell pepper (",12,spinach garlic bruschetta with red bell pepper sauce,[],spinach garlic bruschetta with red bell pepper sauce
Mini Dal Mature Chat Recipe - That Perfect Party Snack,"1 cup All Purpose Flour (Maida),1/4 cup Green Chutney (Coriander & Mint),2 Green Chillies - slit,1 teaspoon Ajwain (Carom seeds),1 Onion - finely chopped,1 tablespoon Ghee,1 cup Whole Wheat Flour,1/2 cup Fresh Pomegranate Fruit Kernels,1/2 teaspoon Sugar,Salt - as needed,1/4 cup Sev,1 teaspoon Amchur (Dry Mango Powder),1 cup Chana dal (Bengal Gram Dal),Sunflower Oil - for deep frying,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Cumin seeds (Jeera),1/2 teaspoon Garam masala powder,1/4 teaspoon Red Chilli powder,2 tablespoons Ghee,1/4 teaspoon Asafoetida (hing),1/4 cup Sweet Chutney (Date & Tamarind),1 sprig Curry leaves",65,Sindhi,"asafoetida,ajwain,curry leaves,onion,cumin seeds,turmeric powder,green chillies,chana dal,sunflower oil,salt,wheat flour,sev,pomegranate fruit kernels,flour,green chutney,garam masala powder,red chilli powder,sweet chutney,sugar,amchur,ghee",21,mini dal mature chat,['that perfect party snack'],"mini dal mature chat, that perfect party snack"
Asian Style Sweet & Spicy Green Beans Recipe,"2 tablespoons Rice Wine Vinegar,1/4 cup Roasted Peanuts (Moongphali),1 tablespoon Soy sauce,Salt - to taste,1 Lemon - juice,2 tablespoons Thai Sweet Chilli Sauce,300 grams Green beans (French Beans) - cut into half,3 cloves Garlic - finely chopped,1 tablespoon Sesame (Gingelly) Oil",25,Thai,"salt,green beans,rice wine vinegar,sesame oil,cloves garlic,soy sauce,thai sweet chilli sauce,lemon,peanuts",9,asian style sweet & spicy green beans,[],asian style sweet & spicy green beans
Chinese Darsaan Recipe With Ice Cream,"Water - to make the dough,2 tablespoon Sugar,2 tablespoons Water,1/2 teaspoon Vanilla Extract,1 tablespoon Sunflower Oil,2 tablespoons Honey,1/4 teaspoon Baking powder,1 tablespoon Sesame seeds (Til seeds) - white,All Purpose Flour (Maida),Sunflower Oil - to deep fry",40,Chinese,"baking powder,water make the dough,water,sugar,vanilla,flour,sesame seeds white,sunflower oil",8,chinese darsaan with ice cream,[],chinese darsaan with ice cream
Sundakkai and Methi Leaves Sambar Recipe - Sundkai Methi Sambar Recipe," green coriander - little, oil - as per use, 1/4 cup fenugreek, curry leaves - little, 1/2 Tomato, 1/2 tsp Turmeric Powder, water - According to use, 1/4 teaspoon cumin seeds,1/2 cup Sundkai, 1/2 teaspoon mustard, 1/2 cup Arhar dal - boiled and mashed, 1/4 teaspoon asafoetida, salt - as per taste, 1 Tamarind, 1 tsp Coriander Powder, 2 tsp Sambar Powder, 1 dry red chili",65,South Indian Recipes,"tomato,turmeric powder,salt,coriander leaves,fenugreek,sundkai,asafoetida,water,mustard,dry red chilli,curry leaves,oil,coriander powder,arhar dal,tamarind,sambar powder,cumin seeds",17,sundakkai and methi leaves sambar,['sundkai methi sambar'],"sundakkai and methi leaves sambar, sundkai methi sambar"
"Cabbage, Spinach, Pomegranate Slaw with Lemon Dressing Recipe","1 cup Fresh Pomegranate Fruit Kernels,2 Lemon juice,2 tablespoons Extra Virgin Olive Oil,Salt and Pepper - to taste,1 cup Spinach - shredded,1 cup Cabbage (Patta Gobi/ Muttaikose) - shredded",15,Continental,"salt,spinach,virgin olive oil,lemon,pomegranate fruit kernels,cabbage,pepper",7,"cabbage, spinach, pomegranate slaw with lemon dressing",[],"cabbage, spinach, pomegranate slaw with lemon dressing"
Matar Samosa Recipe -Green Pea Samosa,"1 cup All Purpose Flour (Maida),Sunflower Oil - for deep frying,Salt - to taste,1 teaspoon Cumin seeds (Jeera),1-1/2 cups Green peas (Matar) - steamed and mashed,1 teaspoon Green Chilli Sauce,1/2 teaspoon Garam masala powder,1/4 teaspoon Red Chilli powder,2 teaspoon All Purpose Flour (Maida),1/2 teaspoon Salt,2 tablespoons Ghee,1/4 cup Water,1/2 teaspoon Cinnamon Powder (Dalchini),2 teaspoon Amchur (Dry Mango Powder)",55,North Indian Recipes,"salt,cinnamon powder,amchur,ghee,red chilli powder,green peas,water,green chilli sauce,cumin seeds,flour,garam masala powder,sunflower oil",12,matar samosa,['green pea samosa'],"matar samosa, green pea samosa"
Eggless Chocolate Cupcakes With Raspberry & Cheese Frosting,"1/2 tablespoon Baking powder,8 Fresh raspberries,1 cup All Purpose Flour (Maida),1 cup Britannia Cream Cheese,3/4 cup Caster Sugar,1/2 tablespoon Vanilla Extract,1/2 cup Cocoa Powder,1 cup Dark chocolate,1/2 cup Salted butter,1 teaspoon Vanilla Extract,3/4 cup Milk,1/2 teaspoon Baking soda,1/2 cup Sugar",40,Continental,"cheese,baking powder,britannia,raspberries,milk,salted butter,baking soda,sugar,vanilla,dark chocolate,caster sugar,cocoa powder,flour",13,chocolate cupcakes with raspberry & cheese frosting,[],chocolate cupcakes with raspberry & cheese frosting
Kerala pala pradham recipe,"3/4 cup Sugar,2 liter Milk - full cream,1 cup Ada,1/2 teaspoon Cardamom Powder (Elaichi),1 tablespoon Ghee",90,Kerala Recipes,"ada,ghee,sugar,cardamom powder,milk full",5,kerala pala pradham,[],kerala pala pradham
Tindora Sambharo Recipe - Instant Tendli Pickle,"1 cup Tindora (Dondakaya/ Kovakkai) - finely chopped,Salt - to taste,1 teaspoon Red Chilli powder,1/4 teaspoon Split Methi Seeds (Methi Kuria),Lemon - juice extracted,1/2 teaspoon Split Mustard Seeds (Rai Kuria),1 tablespoon Sunflower Oil,1/4 teaspoon Asafoetida (hing),1/4 teaspoon Turmeric powder (Haldi)",35,Gujarati Recipes﻿,"salt,sunflower oil,asafoetida,red chilli powder,split methi seeds,tindora,lemon,turmeric powder,split mustard seeds",9,tindora sambharo,['instant tendli pickle'],"tindora sambharo, instant tendli pickle"
Chettinad Style Chicken Roast Recipe,"1/4 teaspoon Kalonji (Onion Nigella Seeds),1 teaspoon Tamarind Paste,1 teaspoon Ghee,1 tablespoon Ghee,1 teaspoon Jaggery,2 teaspoons Coriander (Dhania) Seeds,1 teaspoon Whole Black Peppercorns,1/4 cup Hung Curd (Greek Yogurt),Salt - to taste,1/2 inch Cinnamon Stick (Dalchini),1 Onion - sliced,1/2 teaspoon Mustard seeds,4 cloves Garlic,1/2 inch Ginger,1/4 teaspoon Methi Seeds (Fenugreek Seeds),2 Cloves (Laung),2 tablespoon Fresh coconut - grated,1/2 teaspoon Turmeric powder (Haldi),2 teaspoon Cumin seeds (Jeera),1 Cardamom (Elaichi) Pods/Seeds,1 teaspoon Fennel seeds (Saunf),2 Dry Red Chillies,1 Chicken legs,1 teaspoon Sunflower Oil,1 sprig Curry leaves",35,Chettinad,"jaggery,cloves garlic,black peppercorns,curry leaves,coriander seeds,onion,cumin seeds,turmeric powder,chicken legs,sunflower oil,salt,cardamom podsseeds,dry red chillies,tamarind paste,kalonji,coconut,mustard seeds,methi seeds,hung curd,ginger,ghee,fennel seeds,cinnamon stick,cloves",24,chettinad style chicken roast,[],chettinad style chicken roast
Palakottai Kujambu Recipe-Kongunad Style Jackfruit Seeds Curry,"8 cloves Garlic,1/2 teaspoon Mustard seeds,2 teaspoons Sunflower Oil,Salt - to taste,8 Curry leaves,10 Whole Black Peppercorns,1 cup Tamarind Water,1 Onion - chopped,1/2 cup Fresh coconut,1 teaspoon Sunflower Oil,Coriander (Dhania) Leaves - small bunch,1/2 teaspoon Red Chilli powder,2 Dry Red Chillies,1/4 teaspoon Asafoetida (hing),1/4 teaspoon Turmeric powder (Haldi),2 teaspoons Sambar Powder,1 teaspoon Coriander (Dhania) Seeds,1 Tomato - chopped,1/2 teaspoon Cumin seeds (Jeera),1 cup Jackfruit Seeds (Kathal)",25,Tamil Nadu,"tomato,coriander,jackfruit seeds,salt,tamarind water,mustard seeds,asafoetida,coconut,red chilli powder,cloves garlic,black peppercorns,curry leaves,dry red chillies,onion,cumin seeds,coriander seeds,turmeric powder,sambar powder,sunflower oil",19,palakottai kujambu,['kongunad style jackfruit seeds curry'],"palakottai kujambu, kongunad style jackfruit seeds curry"
Baingan Bharta Recipe - Brinjal Bharta Recipe," 1 tomato - chopped,1 eggplant, 1 onion - finely chopped, 2 green chillies - finely chopped, 1 tablespoon oil, 1 teaspoon turmeric powder, salt - as per taste, 2 inch ginger - peel and tighten, 2 sprigs of coriander - finely chopped (for garnish), 1 teaspoon red chili powder, 1 teaspoon garam masala powder, 1 teaspoon coriander powder , 1 tablespoon butter",60,Punjabi,"tomato,turmeric powder,salt,ginger,red chilli powder,eggsplant,coriander,onion,oil,coriander powder,green chillies,butter,garam masala powder",13,baingan bharta,['brinjal bharta'],"baingan bharta, brinjal bharta"
